Temp_Celsius,RH_Percent
27.6,47
27.7,47
27.7,47
27.7,47
27.7,47
27.6,47
27.6,47
27.7,47
27.7,47
27.6,47
27.7,47
27.7,47
27.7,47
27.8,47
27.8,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.7,47
27.6,47
27.7,47
27.7,47
27.6,47
27.6,47
27.6,47
27.7,47
27.7,48
27.7,48
27.7,48
27.8,48
27.6,48
27.6,48
27.6,48
27.7,48
27.8,48
27.7,48
27.7,48
27.7,48
27.6,48
27.6,47
27.6,47
27.6,48
27.6,48
27.6,48
27.6,48
27.6,47
27.6,48
27.4,48
27.4,48
27.4,48
27.5,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.5,48
27.5,48
27.5,48
27.5,47
27.5,47
27.5,48
27.5,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.5,48
27.5,48
27.4,48
27.4,48
27.4,48
27.5,48
27.4,48
27.4,48
27.4,48
27.5,48
27.5,48
27.5,48
27.5,48
27.5,48
27.5,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.4,48
27.5,48
27.5,48
27.5,48
27.5,48
27.5,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.7,48
27.7,48
27.7,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.7,48
27.6,48
27.6,48
27.7,48
27.6,48
27.6,48
27.6,47
27.5,47
27.5,47
27.5,47
27.5,47
27.5,47
27.6,47
27.5,47
27.5,47
27.6,47
27.5,47
27.5,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.5,48
27.5,47
27.5,47
27.6,47
27.5,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,48
27.6,48
27.6,48
27.6,47
27.6,47
27.6,48
27.6,48
27.6,48
27.6,48
27.6,48
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,48
27.6,48
27.6,48
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.5,47
27.6,47
27.5,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.5,47
27.5,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.6,47
27.5,47
27.5,47
27.5,47
27.5,47
27.6,47
